trigger;mot
1;moumou
2;guigui
3;poupou
4;cécé
5;fofo
6;lélé
7;mumu
8;sissi
9;pupu
10;didi
11;bubu
12;nini
13;veuveu
14;jiji
15;peupeu
16;lili
17;beubeu
18;riri
19;monmon
20;guégué
21;moumou
22;guigui
23;poupou
24;cécé
25;fofo
26;lélé
27;mumu
28;sissi
29;pupu
30;didi
31;bubu
32;nini
33;veuveu
34;jiji
35;peupeu
36;lili
37;beubeu
38;riri
39;monmon
40;guégué
41;moumou
42;guigui
43;poupou
44;cécé
45;fofo
46;lélé
47;mumu
48;sissi
49;pupu
50;didi
51;bubu
52;nini
53;veuveu
54;jiji
55;peupeu
56;lili
57;beubeu
58;riri
59;monmon
60;guégué
